Título;Categoría (Reciclaje/Reutilización/Reducción);Descripción
Conserva tu teléfono por más tiempo;Reducción;Mantén tu smartphone durante 3-4 años para reducir el impacto ambiental. Cuando sea el momento de cambiar, revisa los programas de reciclaje del fabricante.
Haz abono con restos de comida;Reciclaje;Convertí los restos de comida en abono para evitar la emisión de metano en los vertederos y enriquecer tu suelo.
Usa un cargador solar;Reducción;Ahorra energía utilizando un cargador solar para tu teléfono, aprovechando la luz solar disponible.
Recicla correctamente las botellas de plástico;Reciclaje;Recicla las botellas de plástico limpias y separa las tapas para facilitar su procesamiento.
Prioriza el transporte público o la bicicleta;Reducción;El uso de la bicicleta o el transporte público reduce las emisiones de carbono de los autos.
Instala paneles solares en casa;Reutilización;Instalar paneles solares ayuda a reducir emisiones de carbono y ahorrar en la factura eléctrica.
Evita el ascensor, usa las escaleras;Reducción;Subir por las escaleras en lugar de usar el ascensor ahorra energía y reduce tu huella de carbono.
Elimina las bolsas de plástico;Reducción;Evita usar bolsas de plástico. Usa bolsas reutilizables o limpia los contenedores directamente.
Cierra el grifo al lavar los dientes;Reducción;Ahorras agua al cerrar el grifo mientras te cepillas los dientes, reduciendo el desperdicio.
Reutiliza ropa vieja;Reutilización;Dona o reutiliza ropa en lugar de tirarla. Así, reducis residuos textiles y apoyas la economía circular.
Compra productos a granel;Reducción;Optar por productos a granel reduce el consumo de envases y residuos plásticos.
Usa focos/lamparas LED;Reducción;Las focos/lamparas LED consumen menos energía que las tradicionales y tienen una vida útil más larga.
Compra electrodomésticos eficientes;Reducción;Elige electrodomésticos con etiquetas de eficiencia energética para ahorrar energía a largo plazo.
Cierra la canilla mientras te lavas las manos;Reducción;Ahorras agua al cerrar la canilla mientras te enjabonas las manos o te lavas la cara. Esto puede reducir considerablemente el desperdicio de agua
Usar pilas recargables;Reutilización;Opta por pilas recargables en lugar de desechables, ya que duran mucho más y generan menos residuos a largo plazo?
Reparar electrodomesticos en vez de tirarlos;Reutilización;Reparar electrodomésticos cuando se descomponen extiende su vida útil y evita la compra de nuevos productos, lo que reduce el consumo de recursos
Comprar productos locales y de temporada;Reducción;Al comprar productos locales y de temporada, reduces la huella de carbono
